Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
"1,000.00",+75.94%,"3,147.10","3,150.85","3,154.60","2,736.40","2,736.40",unch,1,1,1.00,145.78%,Call,03/05/21
"1,100.00",+73.53%,"3,047.20","3,050.95","3,054.70",0.00,0.00,unch,0,0,0.00,136.64%,Call,N/A
"1,200.00",+71.13%,"2,947.40","2,951.15","2,954.90",0.00,0.00,unch,0,0,0.00,128.62%,Call,N/A
"1,300.00",+68.72%,"2,847.50","2,851.25","2,855.00",0.00,0.00,unch,0,0,0.00,120.98%,Call,N/A
"1,400.00",+66.31%,"2,747.80","2,751.55","2,755.30",0.00,0.00,unch,0,0,0.00,114.42%,Call,N/A
"1,500.00",+63.91%,"2,646.70","2,650.45","2,654.20",0.00,0.00,unch,0,0,0.00,104.74%,Call,N/A
"1,600.00",+61.50%,"2,546.90","2,550.65","2,554.40",0.00,0.00,unch,0,0,0.00,99.02%,Call,N/A
"1,700.00",+59.09%,"2,448.40","2,452.15","2,455.90",0.00,0.00,unch,0,0,0.00,96.45%,Call,N/A
"1,800.00",+56.69%,"2,348.60","2,352.35","2,356.10",0.00,0.00,unch,0,0,0.00,91.12%,Call,N/A
"1,900.00",+54.28%,"2,248.90","2,252.65","2,256.40",0.00,0.00,unch,0,0,0.00,86.22%,Call,N/A
"2,000.00",+51.88%,"2,149.20","2,152.95","2,156.70",0.00,0.00,unch,0,0,0.00,81.54%,Call,N/A
"2,100.00",+49.47%,"2,049.40","2,053.15","2,056.90",0.00,0.00,unch,0,0,0.00,76.89%,Call,N/A
"2,200.00",+47.06%,"1,949.90","1,953.65","1,957.40",0.00,0.00,unch,0,0,0.00,72.85%,Call,N/A
"2,250.00",+45.86%,"1,900.20","1,903.95","1,907.70",0.00,0.00,unch,0,0,0.00,70.94%,Call,N/A
"2,300.00",+44.66%,"1,850.30","1,854.05","1,857.80",0.00,0.00,unch,0,0,0.00,68.79%,Call,N/A
"2,350.00",+43.45%,"1,799.50","1,803.25","1,807.00",0.00,0.00,unch,0,0,0.00,65.54%,Call,N/A
"2,400.00",+42.25%,"1,749.80","1,753.55","1,757.30",0.00,0.00,unch,0,1,0.00,63.75%,Call,N/A
"2,450.00",+41.05%,"1,701.80","1,705.55","1,709.30",0.00,0.00,unch,0,0,0.00,63.88%,Call,N/A
"2,500.00",+39.84%,"1,651.70","1,655.45","1,659.20",0.00,0.00,unch,0,0,0.00,61.63%,Call,N/A
"2,550.00",+38.64%,"1,602.60","1,606.35","1,610.10",0.00,0.00,unch,0,0,0.00,60.40%,Call,N/A
"2,600.00",+37.44%,"1,552.70","1,556.45","1,560.20",0.00,0.00,unch,0,0,0.00,58.39%,Call,N/A
"2,650.00",+36.23%,"1,502.90","1,506.65","1,510.40",0.00,0.00,unch,0,0,0.00,56.51%,Call,N/A
"2,700.00",+35.03%,"1,452.20","1,455.95","1,459.70",0.00,0.00,unch,0,110,0.00,53.85%,Call,N/A
"2,750.00",+33.83%,"1,403.90","1,407.65","1,411.40",0.00,0.00,unch,0,0,0.00,53.28%,Call,N/A
"2,800.00",+32.63%,"1,354.50","1,358.25","1,362.00",0.00,0.00,unch,0,0,0.00,51.74%,Call,N/A
"2,825.00",+32.02%,"1,329.80","1,333.55","1,337.30",0.00,0.00,unch,0,0,0.00,50.97%,Call,N/A
"2,850.00",+31.42%,"1,305.10","1,308.85","1,312.60",0.00,0.00,unch,0,0,0.00,50.19%,Call,N/A
